S/No.,Printer Program Names,HP Printer Names,ASIN,Cost,PPM (Speed),Comments,Image from HP Store,Reviews from Web
1,Edwin,HP Officejet Pro 7740,B01JUCLLGK,275,22,A3 printer,,
2,Weber Mid,HP Officejet Pro 8720,B01CJNMMZG,499,24,With Stage Duplex,,
,,HP Officejet Pro 8730,B01F9FPZ46,,,,,
,,HP Officejet Pro 8740,B01CJNMNE6,,,,,
3,Mahanttan,HP Officejet Pro 9020,B07PW3F4LC,459,20,,,
4,Pentane,HP PageWide Pro MFP 477dw,B01B1JFRT2,530,55,Page wide printing,,
5,Malbec,HP OfficeJet Pro 9010,B07Q9ZTSJD,359,32,,,
6,AmpereXL ,HP DesignJet T125,B07S4CY36Z,2600,,without stand,,
,,HP DesignJet T130,B07S5WVVR6,,,,,
7,AmpereXL ,HP Designjet T830,B017V5LFLO,,26s on A1,24/36 inch with stand,,
8,Palermo,HP Envy Photo 7855,B074P4T1FT,299,14,,,
9,Verona,HP Envy Photo 5020,B075JHKW3Q,129,6.8,,,
,,HP Envy Photo 5055,B0799D4T89,,,,,
10,Infinity,HP Tango,B07GG7NCW1,149,11,,,
11,Mobile GRT,HP OfficeJet 200 Mobile ,B01HGD8T9M,299-499,10,,,
,,HP OfficeJet 250 Mobile ,B01HGD8R5S,,,,,
12,Poseidon,HP Smart Tank Plus 651,B07XGNLFJC,349,11,,,
,,HP Smart Tank Plus 655,only on amazon.co.uk,,,,,
13,Larsa,HP DeskJet 3750,only on amazon.co.uk,89,8,,,
,,HP DeskJet 3755,B01GAIU7HG,,,,,
,,HP DeskJet 3760,only on amazon.co.uk,,,,,
14,Chrono,HP Ink Tank 310,only on Amazon.in,249,5,,,
,,HP Ink Tank  410,only on Amazon.in,,,,,
,,HP Ink Tank 455,only on Amazon.in,,,,,
15,Vasari,HP Envy Pro 6455,B083ZZMLQS,149,10,,,https://sea.pcmag.com/inkjet-printer-reviews/37810/hp-envy-pro-6455-all-in-one
,,HP Envy Pro  6055,B083ZZ96PT,,,,,
16,Taccola,HP Deskjet Plus 4155 ,B083ZY9FJG,99,6,,,
